show_id,type,title,cast,release_year,listed_in,plataforma,duration_len,duration_type
n5934,TV Show,The Borgias,"Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes",2013,TV Dramas,netflix,3,season
n5935,Movie,Mitt,Mitt Romney,2014,Documentaries,netflix,93,min
n5936,Movie,The Square,"Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Bothaina Kamel, Dina Abdullah, Aida Elkashef, Ragia Omran, Pierre Seyoufr, Dina Amer, Sherif Boray, Khaled Nagy, Salma Saied, Ahmed Saleh, Alaa Seif",2013,"Documentaries, International Movies",netflix,105,min
n5937,Movie,Shrek the Musical,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",2013,"Children & Family Movies, Comedies, Music & Musicals",netflix,130,min
n5938,Movie,The Short Game,"Sky Sudberry, Allan Kournikova, Jed Dy, Zamokuhle Nxasana, Alexa Pano, Amari Avery, Augustin Valery, Kuang Yang, Jack Nicklaus, Gary Player",2013,"Children & Family Movies, Documentaries, Sports Movies",netflix,100,min
n5939,Movie,Aziz Ansari: Buried Alive,Aziz Ansari,2013,Stand-Up Comedy,netflix,80,min
n5940,TV Show,The 4400,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell",2007,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",netflix,4,season
n5941,TV Show,Breaking Bad,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",2013,"Crime TV Shows, TV Dramas, TV Thrillers",netflix,5,season
n5942,Movie,Being Elmo: A Puppeteer's Journey,"Kevin Clash, Whoopi Goldberg",2011,Documentaries,netflix,76,min
n5943,Movie,A Stoning in Fulham County,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",1988,Dramas,netflix,95,min
n5944,Movie,Adam: His Song Continues,"Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina",1986,Dramas,netflix,96,min
n5945,Movie,Hard Lessons,"Denzel Washington, Lynn Whitfield, Richard Masur, Akosua Busia",1986,Dramas,netflix,94,min
n5946,Movie,In Defense of a Married Man,"Judith Light, Michael Ontkean, Jerry Orbach, Pat Corley, Nicholas Campbell, John Colicos, Cynthia Sikes, Johnny Galecki",1990,Dramas,netflix,94,min
n5947,Movie,Quiet Victory: The Charlie Wedemeyer Story,"Pam Dawber, Michael Nouri, Bess Meyer, Peter Berg, James Handy, Kyle Chandler",1988,"Dramas, Sports Movies",netflix,93,min
n5948,Movie,Strange Voices,"Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins",1987,Dramas,netflix,96,min
n5949,Movie,The Ryan White Story,"Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan",1989,Dramas,netflix,94,min
n5950,Movie,Too Young the Hero,"Ricky Schroder, Jon DeVries, Debra Mooney, Mary-Louise Parker, Christopher Curry, Rick Warner, Tom Wood",1988,Dramas,netflix,94,min
n5951,Movie,Triumph of the Heart,"Mario Van Peebles, Susan Ruttan, Lane R. Davis, Lynn Whitfield, Adam Faraizl, Polly Holliday, Jay Pennison, John Schuhmacher",1991,"Dramas, Sports Movies",netflix,93,min
n5952,Movie,Unspeakable Acts,"Jill Clayburgh, Brad Davis, Sam Behrens",1990,Dramas,netflix,95,min
n5953,Movie,Victim of Beauty,"William Devane, Jeri Ryan, Michele Abrams, Nick Searcy, Linda Pierce, J. Don Ferguson, Butch Slade, Joyce Bowden-Kirby",1991,"Dramas, Thrillers",netflix,93,min
n5954,Movie,Joseph: King of Dreams,"Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett",2000,"Children & Family Movies, Dramas, Faith & Spirituality",netflix,75,min
n5955,Movie,Even the Rain,"Luis Tosar, Gael García Bernal, Juan Carlos Aduviri, Karra Elejalde, Raúl Arévalo, Carlos Santos, Cassandra Ciangherotti, Milena Soliz, Leónidas Chiri, Vicente Romero, Daniel Currás, Pau Cólera",2010,"Dramas, International Movies",netflix,103,min
n5956,Movie,Splatter,"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",2009,Horror Movies,netflix,29,min
n5957,Movie,Just Another Love Story,"Anders W. Berthelsen, Rebecka Hemse, Nikolaj Lie Kaas, Charlotte Fich, Dejan Cukic, Karsten Jansfort, Flemming Enevold, Bent Mejding, Ewa Fröling, Josephine Raahauge, Timm Vladimir, Ditte Hansen",2007,"Dramas, International Movies",netflix,104,min
n5958,Movie,To and From New York,"Barbara King, Shaana Diya, John Krisiukenas, Yoriko Haraguchi, David Crane, Chad Thomas",2006,"Dramas, Independent Movies, Thrillers",netflix,81,min
n5959,Movie,9,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",2009,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",netflix,80,min
n5960,Movie,21,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",2008,Dramas,netflix,123,min
n5961,Movie,187,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",1997,Dramas,netflix,119,min
n5962,Movie,706,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",2019,"Horror Movies, International Movies",netflix,118,min
n5963,Movie,1920,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",2008,"Horror Movies, International Movies, Thrillers",netflix,143,min
n5964,Movie,Oct-01,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",2014,"Dramas, International Movies, Thrillers",netflix,149,min
n5965,TV Show,Feb-09,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",2018,"International TV Shows, TV Dramas",netflix,1,Season
n5966,Movie,22-Jul,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith",2018,"Dramas, Thrillers",netflix,144,min
n5967,Movie,15-Aug,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",2019,"Comedies, Dramas, Independent Movies",netflix,124,min
n5968,Movie,'89,"Lee Dixon, Ian Wright, Paul Merson",2017,Sports Movies,netflix,87,min
n5969,Movie,​Goli Soda 2,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",2018,"Action & Adventure, Dramas, International Movies",netflix,128,min
n5970,Movie,​Maj Rati ​​Keteki,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",2017,"Dramas, International Movies",netflix,117,min
n5971,Movie,​Mayurakshi,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",2017,"Dramas, International Movies",netflix,100,min
n5972,Movie,(T)ERROR,sin datos,2015,Documentaries,netflix,84,min
n5973,Movie,#cats_the_mewvie,sin datos,2020,"Documentaries, International Movies",netflix,90,min
n5974,Movie,#Roxy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",2018,"Comedies, Romantic Movies",netflix,105,min
n5975,TV Show,แผนร้ายนายเจ้าเล่ห์,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",2016,"International TV Shows, Romantic TV Shows, TV Comedies",netflix,1,Season
n5976,Movie,Ég man þig,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",2017,"Horror Movies, International Movies",netflix,106,min
n5977,Movie,Çok Filim Hareketler Bunlar,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",2010,"Comedies, International Movies",netflix,99,min
n5978,Movie,Æon Flux,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",2005,"Action & Adventure, Sci-Fi & Fantasy",netflix,93,min
n5979,TV Show,Şubat,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",2013,"Crime TV Shows, International TV Shows, TV Dramas",netflix,1,Season
n5980,Movie,1 Chance 2 Dance,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",2014,"Dramas, Romantic Movies",netflix,89,min
